"","stat.socio","dwelling.size","dwelling.tenure2","region.f","state.f","municipality.pop","ac.acquire","total_niv","material.wall","material.roof","material.floor","antigua","cuart_dorm","fridge.adopt","washing.adopt","iron.adopt","tv.adopt","celphone.adopt","fan.adopt","cons.month.kwh.hig1"
"31","mid-high","101-150m2","Borrowed","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",57,1,"No","No","Yes","Yes","Yes","Yes",28.8298473713963
"36","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",60,1,"Yes","No","Yes","Yes","Yes","Yes",86.704506481926
"37","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",33,2,"Yes","Yes","No","Yes","Yes","No",118.537965566911
"43","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",50,3,"Yes","Yes","Yes","Yes","Yes","Yes",202.228033839997
"44","mid-high","<201m2","Rented","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",20,2,"Yes","Yes","No","Yes","Yes","No",145.87848873081
"45","mid-high","Don't know","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","No","Yes","Yes","No",149.963735580576
"47","mid-high","<201m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",50,2,"Yes","Yes","No","Yes","Yes","No",137.582960611744
"49","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",98,3,"Yes","Yes","No","Yes","No","No",159.093972689297
"53","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","Yes","Yes","Yes","Yes",44.7699629825489
"54","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",60,6,"Yes","Yes","No","Yes","Yes","No",80.3843298690781
"55","mid-high","56-75m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","Yes","Yes","Yes","No",55.3893442622951
"57","high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",39,3,"Yes","Yes","No","Yes","Yes","Yes",98.0735990122779
"58","high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","Yes","Yes","Yes","Yes",224.527837259101
"59","high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","No","Yes","Yes","Yes",50.9862940069874
"60","high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","Yes","Yes","Yes","Yes",138.457893074034
"61","high","101-150m2","Borrowed","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",30,3,"Yes","Yes","Yes","Yes","Yes","No",153.385082084226
"62","mid-high","56-75m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","No","Yes","Yes","Yes",200.340194791739
"63","mid-high","151-200m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","Yes","Yes","Yes","Yes",186.624686966936
"64","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",30,3,"Yes","Yes","Yes","Yes","Yes","Yes",142.303737323594
"65","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","Yes","Yes","Yes","No",150.870572541861
"66","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",30,3,"Yes","Yes","Yes","Yes","Yes","No",124.684558054393
"68","mid-high","56-75m2","Rented","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",99,2,"Yes","Yes","Yes","Yes","Yes","No",185.074601091386
"77","high","Don't know","Rented","Temperate","Aguascalientes",">100k","No",3,"brick","concrete","wood/mosaic",99,4,"Yes","No","No","No","Yes","No",147.97920839953
"78","high","151-200m2","Borrowed","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",45,3,"Yes","No","No","Yes","Yes","No",238.706408687672
"79","high","101-150m2","Borrowed","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",40,2,"Yes","Yes","Yes","Yes","Yes","Yes",153.452337000665
"80","high","151-200m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","Yes","Yes","Yes","Yes",129.154069375084
"81","mid-high","151-200m2","Rented","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","No","Yes","Yes","No",117.520920502092
"83","mid-high","Don't know","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,2,"Yes","Yes","No","Yes","Yes","No",104.545485220678
"84","mid-high","<201m2","Owned","Temperate","Aguascalientes",">100k","Yes",2,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","Yes","Yes","Yes","Yes",96.044337967337
"89","mid-low","151-200m2","Rented","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","Yes","Yes","Yes","No",233.466533121503
"95","high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",16,3,"Yes","Yes","Yes","Yes","Yes","Yes",150.57435932859
"96","high","<201m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",32,7,"Yes","Yes","No","Yes","Yes","No",338.86146699089
"97","high","<201m2","Owned","Temperate","Aguascalientes",">100k","Yes",3,"brick","concrete","wood/mosaic",15,5,"Yes","Yes","Yes","Yes","Yes","No",159.8348637172
"98","high","<201m2","Rented","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","cement",10,2,"Yes","Yes","Yes","Yes","Yes","No",88.2331040351748
"99","high","<201m2","Rented","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",35,3,"Yes","Yes","Yes","Yes","Yes","Yes",322.464944394557
"101","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",3,"brick","concrete","wood/mosaic",27,3,"Yes","Yes","No","Yes","Yes","No",147.904083290261
"104","mid-high","<201m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",19,1,"Yes","Yes","No","Yes","No","No",130.749834838141
"106","mid-high","101-150m2","Borrowed","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",99,1,"Yes","Yes","Yes","Yes","Yes","No",144.595143904475
"109","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",54,3,"Yes","No","No","Yes","Yes","No",49.0491803278689
"110","mid-high","56-75m2","Other","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","cement",30,3,"Yes","Yes","Yes","Yes","Yes","Yes",78.4403765690377
"111","mid-high","Don't know","Rented","Temperate","Aguascalientes",">100k","Yes",2,"brick","concrete","wood/mosaic",99,4,"Yes","Yes","No","Yes","Yes","No",188.08886509636
"112","mid-high","151-200m2","Borrowed","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","Yes","Yes","Yes","No",131.726112902119
"113","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","cement",98,3,"Yes","Yes","Yes","Yes","Yes","Yes",111.256917262789
"114","mid-high","76-100m2","Rented","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",99,2,"Yes","Yes","No","Yes","Yes","No",55.9204514915345
"115","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",99,2,"No","Yes","No","Yes","Yes","No",175.318983976962
"116","mid-high","Don't know","Owned","Temperate","Aguascalientes",">100k","No",3,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","No","Yes","Yes","No",104.68938373165
"117","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",35,1,"Yes","Yes","No","Yes","Yes","No",162.917005094883
"118","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",30,2,"Yes","Yes","Yes","Yes","Yes","Yes",157.589010271114
"120","mid-high","<201m2","Borrowed","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",40,2,"Yes","Yes","Yes","Yes","Yes","Yes",108.362695441533
"122","mid-high","76-100m2","Rented","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",27,1,"Yes","Yes","No","Yes","Yes","Yes",71.6228332337119
"124","mid-low","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","cement",40,2,"Yes","No","No","Yes","Yes","No",124.663404064555
"125","mid-low","151-200m2","Borrowed","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",15,4,"Yes","Yes","Yes","Yes","Yes","Yes",306.311180789232
"126","mid-low","151-200m2","Owned","Temperate","Aguascalientes",">100k","Yes",3,"brick","concrete","wood/mosaic",35,5,"Yes","Yes","Yes","Yes","Yes","Yes",191.38306821658
"131","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",4,3,"Yes","Yes","No","Yes","Yes","No",175.469307637402
"132","mid-high","<201m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",2,1,"Yes","Yes","Yes","Yes","Yes","No",254.972519628837
"138","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",29,1,"Yes","Yes","No","Yes","Yes","No",167.714557628905
"139","mid-low","101-150m2","Rented","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","cement",31,2,"Yes","Yes","No","Yes","Yes","Yes",140.630111980904
"144","mid-low","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",37,3,"Yes","Yes","No","Yes","Yes","Yes",264.756906659178
"145","mid-low","31-55m2","Borrowed","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",20,1,"No","No","No","Yes","Yes","No",151.336048021905
"147","mid-low","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","cement",99,3,"Yes","Yes","No","Yes","Yes","Yes",210.173090649536
"148","mid-low","56-75m2","Borrowed","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",30,2,"Yes","Yes","Yes","Yes","Yes","Yes",123.75
"150","mid-high","76-100m2","Other","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",30,2,"Yes","Yes","Yes","Yes","Yes","Yes",141.238758029979
"152","mid-high","76-100m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,2,"Yes","Yes","Yes","Yes","Yes","No",93.8752570739664
"153","mid-high","76-100m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,2,"Yes","No","Yes","Yes","Yes","No",186.464268863645
"154","mid-high","76-100m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","cement",99,2,"Yes","Yes","No","Yes","Yes","No",75.9100418410042
"159","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","No","Yes","Yes","No",143.632635284724
"160","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",40,4,"Yes","Yes","No","Yes","Yes","No",137.601943124601
"162","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",30,3,"Yes","Yes","Yes","Yes","Yes","No",147.963924073604
"163","mid-high","101-150m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",35,3,"Yes","Yes","No","Yes","Yes","Yes",185.074601091386
"168","high","151-200m2","Owned","Temperate","Aguascalientes",">100k","Yes",1,"brick","concrete","wood/mosaic",30,3,"Yes","Yes","Yes","Yes","Yes","Yes",81.7266162775003
"169","high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",28,3,"Yes","Yes","Yes","Yes","Yes","No",149.568105106522
"170","high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",30,3,"Yes","Yes","Yes","Yes","Yes","Yes",215.044738452126
"171","high","Don't know","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","Yes","Yes","Yes","No",146.605304966499
"172","high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",30,5,"Yes","Yes","No","Yes","Yes","No",351.944401957785
"179","high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",15,3,"Yes","Yes","Yes","Yes","Yes","No",190.455032119914
"183","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,1,"Yes","Yes","Yes","Yes","Yes","Yes",108.920998510744
"184","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",3,"brick","concrete","wood/mosaic",99,1,"Yes","No","No","Yes","Yes","Yes",77.418977377491
"186","mid-high","76-100m2","Rented","Temperate","Aguascalientes",">100k","No",3,"brick","concrete","wood/mosaic",99,2,"Yes","Yes","Yes","Yes","Yes","No",96.2261541734629
"187","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",29,3,"Yes","Yes","Yes","Yes","Yes","Yes",180.350686277951
"188","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",3,"brick","concrete","wood/mosaic",28,2,"Yes","No","Yes","Yes","Yes","No",39.4732598763773
"192","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",22,1,"Yes","Yes","Yes","Yes","Yes","Yes",104.647340107591
"193","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","cement",20,2,"Yes","Yes","Yes","Yes","Yes","Yes",167.721397981034
"194","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",23,3,"Yes","Yes","Yes","Yes","Yes","Yes",133.183219555164
"196","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",18,3,"Yes","Yes","Yes","Yes","Yes","Yes",119.447492969339
"197","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",18,1,"Yes","No","No","Yes","Yes","Yes",55.9204514915345
"199","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",18,1,"Yes","Yes","Yes","No","Yes","No",36.7320612738511
"200","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",3,"brick","concrete","wood/mosaic",99,2,"Yes","Yes","Yes","Yes","Yes","Yes",191.243754461099
"201","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",4,"brick","concrete","wood/mosaic",35,3,"Yes","No","Yes","Yes","Yes","Yes",122.086022267924
"202","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",3,"brick","concrete","wood/mosaic",34,3,"Yes","Yes","Yes","Yes","Yes","No",62.3506529591553
"203","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",4,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","Yes","Yes","Yes","Yes",151.49517262106
"204","mid-high","56-75m2","Rented","Temperate","Aguascalientes",">100k","No",4,"brick","concrete","cement",40,3,"No","Yes","Yes","Yes","Yes","No",143.920413990007
"206","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","cement",30,3,"Yes","Yes","Yes","Yes","Yes","No",144.113889594599
"210","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",3,"brick","concrete","wood/mosaic",99,1,"Yes","Yes","Yes","Yes","Yes","No",61.2170047235343
"211","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",4,"brick","concrete","wood/mosaic",33,2,"Yes","Yes","No","Yes","Yes","No",96.6963335933622
"213","mid-high","76-100m2","Rented","Temperate","Aguascalientes",">100k","No",4,"brick","concrete","wood/mosaic",33,1,"Yes","Yes","Yes","Yes","Yes","Yes",39.6776882467352
"214","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",4,"brick","concrete","wood/mosaic",34,2,"Yes","Yes","Yes","Yes","Yes","No",107.040280831147
"216","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",32,2,"Yes","Yes","Yes","Yes","Yes","Yes",84.0014892560811
"217","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",4,"brick","concrete","wood/mosaic",30,2,"Yes","Yes","Yes","Yes","Yes","Yes",160.649651170823
"220","mid-high","76-100m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","Yes","Yes","Yes","No",137.067060942864
"222","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",30,2,"Yes","Yes","No","Yes","Yes","No",104.647340107591
"224","mid-low","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","cement",99,2,"Yes","Yes","No","Yes","Yes","No",162.507459542949
"228","mid-low","101-150m2","Borrowed","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,3,"Yes","No","No","Yes","Yes","No",83.0611304162825
"231","high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","No","Yes","Yes","Yes",71.2711636656813
"234","mid-high","Don't know","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","Yes","Yes","Yes","Yes",117.520920502092
"236","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",28,3,"Yes","Yes","Yes","Yes","Yes","Yes",276.6681632935
"237","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,2,"Yes","Yes","Yes","Yes","Yes","Yes",126.022067755433
"238","mid-high","Don't know","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,2,"Yes","No","Yes","Yes","Yes","Yes",65.6908665105386
"239","mid-low","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",17,4,"Yes","Yes","Yes","Yes","Yes","Yes",219.322269807281
"240","mid-low","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","cement",40,2,"Yes","No","Yes","Yes","Yes","No",180.189611107274
"241","mid-low","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",28,4,"Yes","Yes","No","Yes","Yes","Yes",270.115988579586
"242","mid-low","151-200m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",24,5,"Yes","Yes","Yes","Yes","Yes","Yes",153.385082084226
"243","mid-low","76-100m2","Borrowed","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",30,2,"Yes","Yes","Yes","Yes","Yes","No",192.720574892026
"246","mid-high","<201m2","Other","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",45,4,"Yes","Yes","No","Yes","Yes","Yes",145.480099248836
"250","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","Yes","Yes","Yes","Yes",142.496637776449
"251","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",35,4,"Yes","Yes","No","Yes","Yes","No",157.387229262471
"252","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",30,2,"Yes","Yes","No","Yes","Yes","No",151.813958552608
"266","mid-low","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",3,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","No","Yes","Yes","No",174.992616111644
"272","mid-low","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","cement",37,3,"Yes","Yes","Yes","Yes","Yes","Yes",216.482869379015
"274","mid-low","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",34,2,"Yes","Yes","Yes","Yes","Yes","No",171.640878635076
"276","mid-low","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",33,2,"Yes","No","No","Yes","Yes","No",241.721984296931
"277","mid-low","56-75m2","Borrowed","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",12,2,"No","Yes","No","No","Yes","No",65.7887664606289
"278","mid-low","76-100m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,2,"Yes","No","No","Yes","No","No",133.580020920502
"281","mid-high","<201m2","Other","Temperate","Aguascalientes",">100k","No",1,"adobe","concrete","wood/mosaic",99,2,"Yes","Yes","Yes","Yes","Yes","No",171.064130947628
"282","mid-high","31-55m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,2,"Yes","Yes","Yes","Yes","Yes","Yes",148.445178383479
"285","mid-high","56-75m2","Rented","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",99,2,"Yes","No","Yes","Yes","Yes","No",53.9397144368059
"286","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","cement",70,3,"Yes","Yes","Yes","Yes","Yes","No",51.7821258593337
"287","mid-high","76-100m2","Other","Temperate","Aguascalientes",">100k","No",1,"adobe","concrete","cement",80,1,"Yes","Yes","No","Yes","Yes","No",175.469307637402
"288","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",38,3,"Yes","Yes","Yes","Yes","Yes","No",166.14526490295
"289","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",30,4,"Yes","Yes","Yes","Yes","Yes","No",196.581748331024
"290","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",30,3,"Yes","Yes","Yes","Yes","Yes","No",154.543413690682
"291","mid-high","101-150m2","Borrowed","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",20,3,"Yes","Yes","Yes","Yes","Yes","Yes",54.4151153098083
"292","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",20,3,"Yes","Yes","No","Yes","Yes","No",218.227053315428
"296","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",25,2,"Yes","Yes","Yes","Yes","Yes","No",133.461473097447
"297","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",33,2,"Yes","No","Yes","Yes","Yes","No",157.076912275775
"298","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",19,3,"Yes","No","Yes","Yes","Yes","Yes",153.932789942668
"299","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","cement",30,4,"Yes","Yes","Yes","Yes","Yes","Yes",78.6680613668062
"300","mid-high","151-200m2","Borrowed","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",25,3,"Yes","Yes","Yes","Yes","Yes","Yes",195.657863430883
"302","high","<201m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",30,3,"Yes","Yes","No","Yes","No","No",208.736271326932
"308","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",25,3,"Yes","Yes","Yes","Yes","Yes","Yes",169.809007391034
"309","mid-high","56-75m2","Borrowed","Temperate","Aguascalientes",">100k","No",4,"brick","concrete","wood/mosaic",26,2,"Yes","Yes","No","Yes","Yes","Yes",148.437176210541
"310","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",4,"brick","concrete","wood/mosaic",27,3,"Yes","Yes","Yes","Yes","Yes","Yes",185.074601091386
"311","mid-high","56-75m2","Owned","Temperate","Aguascalientes",">100k","No",4,"brick","concrete","wood/mosaic",30,2,"Yes","Yes","Yes","Yes","Yes","No",177.747116115217
"312","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",14,2,"Yes","Yes","Yes","Yes","Yes","No",140.765524625268
"313","high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",20,3,"Yes","Yes","No","Yes","No","Yes",246.136975892795
"314","high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",23,3,"Yes","Yes","Yes","Yes","Yes","Yes",135.919389376252
